student_id,age,gender,major,gpa,study_hours_per_week,satisfaction_1_5,survey_date,dorm_resident,expected_grad_year,income_range,commute_minutes,clubs_member,attendance_rate,favorite_language,comments
S10000,,Male,Computer Science,,,2,2025-13-40,Yes,2027,>$100k,54,TRUE,105%,JavaScript,Love the course.
S10001,,Male,CompSci,3.75,-3,,,Yes,,,,1,,Rust,Lectures are 🔥
S10002,23.0,Male,Data Science,,20,5,2025-13-40,,2027,$75k-$100k,,,64%,JavaScript,
S10003,,Female,History,5.1,,,,No,,$25k-$50k,15,No,105%,Rust,
S10004,,Female,CompSci,,0,5,2025-13-40,Yes,2029,Prefer not to say,41,No,,Python,
S10005,22.0,Male,Biology,"4,0",20,4,,,twenty28,$25k-$50k,,No,,Rust,
S10006,,prefer not to say,Business,,,2,2025-09-07,N,2028,,0,FALSE,,SQL,Need more examples.
S10007,,Other,CompSci,3.69,,five,2025-13-40,,2027,$50k-$75k,,0,,Rust,Love the course.
S10008,,Male,History,"4,0",ten,3,10/18/2025,Yes,2026,>$100k,-5,TRUE,,Go,Love the course.
S10009,18.0,Female,,3.88,,2,11/08/2025,N,twenty28,>$100k,,1,,JavaScript,Too much homework.
S10010,,Other,CS,,ten,4,09-Sep-2025,Y,2029,>$100k,28,FALSE,74%,Python,
S10011,18.0,Other,Data Science,,,4,11/09/2025,No,twenty28,$25k-$50k,0,No,,C++,Love the course.
S10012,24.0,prefer not to say,CS,3.7,,1,2025-13-40,,2027,$25k-$50k,45 min,0,,SQL,Too much homework.
S10013,25.0,Female,Data Science,5.1,-3,2,2025-13-40,Yes,2026,<$25k,,1,,,Need more examples.
S10014,18.0,Female,Undeclared,,,5,2025-13-40,No,twenty28,$25k-$50k,,No,80%,Python,Love the course.
S10015,18.0,,CS,5.1,,1,2025-11-05,N,2027,>$100k,45 min,1,105%,JavaScript,Love the course.
S10016,18.0,,Data Science,"4,0",-3,,10/04/2025,No,,$25k-$50k,0,Yes,,Rust,
S10017,19.0,Male,CS,"4,0",,five,,,2028,$50k-$75k,45 min,,105%,Java,Lectures are 🔥
S10018,,Other,,5.1,-3,1,,,2027,$25k-$50k,,FALSE,,Java,
S10019,,Female,Business,3.75,12.5,five,02-Nov-2025,Y,2027,Prefer not to say,,TRUE,,Go,Love the course.
S10020,20.0,prefer not to say,CompSci,"4,0",,2,11/28/2025,Yes,2026,,,1,,Python,Too much homework.
S10021,18.0,Other,Biology,3.75,20,five,,No,2028,$25k-$50k,,1,,Java,Love the course.
S10022,,Female,History,3.75,0,1,10/31/2025,N,twenty28,$50k-$75k,45 min,No,,JavaScript,Love the course.
S10023,22.0,Male,History,"4,0",-3,,2025-09-04,,2028,>$100k,33,FALSE,,SQL,
S10024,24.0,,CompSci,"4,0",12.5,1,,Y,2029,$50k-$75k,,,,Go,
S10025,,Other,Undeclared,3.75,-3,3,,No,2030,Prefer not to say,,1,,Python,
S10026,21.0,prefer not to say,,,,,11/26/2025,Yes,twenty28,,,,,Go,
S10027,,Other,Biology,,0,4,,Y,twenty28,$75k-$100k,45 min,1,,SQL,Need more examples.
S10028,,Male,Data Science,,-3,,,N,2027,$75k-$100k,-5,,105%,,
S10029,24.0,,CS,3.75,,,10/04/2025,No,,,-5,No,,,Lectures are 🔥
S10030,21.0,Other,Business,"4,0",,3,,No,2028,Prefer not to say,,1,,Go,Need more examples.
S10031,24.0,Male,Biology,,28,,2025-11-01,,,,0,No,,JavaScript,Need more examples.
S10032,25.0,Male,Undeclared,3.75,0,3,10/30/2025,Yes,2026,$75k-$100k,75,FALSE,,SQL,
S10033,20.0,Male,History,,20,,19-Oct-2025,,,,-5,TRUE,,Python,
S10034,,Male,Computer Science,,6,3,10/01/2025,,2027,>$100k,-5,,105%,Go,
S10035,,Male,Math,3.92,18,5,2025-13-40,,2030,Prefer not to say,,No,98%,Rust,Love the course.
S10036,,Male,Business,3.75,,five,22-Nov-2025,Y,2030,,,1,,,Lectures are 🔥
S10037,20.0,,History,"4,0",,,2025-13-40,Yes,,$50k-$75k,,,105%,JavaScript,Need more examples.
S10038,,prefer not to say,Business,5.1,,,28-Sep-2025,,,$50k-$75k,,TRUE,,JavaScript,
S10039,,prefer not to say,CS,,,,2025-10-28,Y,,$25k-$50k,45 min,,105%,Go,
S10040,,Other,Undeclared,"4,0",20,,05-Oct-2025,,2029,<$25k,15,FALSE,,Java,
S10041,,prefer not to say,History,5.1,12.5,2,25-Sep-2025,N,,$25k-$50k,38,Yes,105%,Python,Lectures are 🔥
S10042,22.0,Female,CS,2.03,12.5,,,,2028,<$25k,-5,FALSE,,C++,
S10043,19.0,,Computer Science,5.1,12.5,2,2025-10-02,Yes,2030,>$100k,45 min,1,105%,,Need more examples.
S10044,24.0,Other,,"4,0",,4,11/20/2025,,2027,$25k-$50k,,FALSE,,Python,Too much homework.
S10045,,,CS,,12.5,,2025-13-40,N,,,45 min,1,,JavaScript,Love the course.
S10046,20.0,Male,Computer Science,,12.5,,,No,,Prefer not to say,,0,98%,C++,Need more examples.
S10047,24.0,Other,,2.35,7,5,2025-11-13,N,twenty28,>$100k,-5,,,SQL,Too much homework.
S10048,19.0,prefer not to say,Business,,,3,,No,twenty28,$50k-$75k,0,TRUE,,C++,Need more examples.
S10049,23.0,Male,Undeclared,5.1,-3,,2025-10-23,N,,>$100k,-5,TRUE,,Rust,Too much homework.
S10050,22.0,prefer not to say,CS,3.75,ten,3,,Y,2030,<$25k,,0,,Java,Love the course.
S10051,,Other,Undeclared,,,five,,N,2028,,,1,,Rust,Lectures are 🔥
S10052,,Other,,3.75,,,,,,>$100k,0,0,105%,JavaScript,Lectures are 🔥
S10053,24.0,Female,Undeclared,3.75,0,,2025-13-40,N,twenty28,<$25k,15,FALSE,105%,,
S10054,25.0,Male,Math,3.75,,,04-Oct-2025,Yes,2030,Prefer not to say,15,1,94%,,Lectures are 🔥
S10055,,Male,Biology,,,,2025-13-40,No,2027,$75k-$100k,,TRUE,,Go,Love the course.
S10056,23.0,Other,Undeclared,"4,0",,3,2025-09-23,Yes,2030,>$100k,45 min,0,,Java,
S10057,,Other,CS,2.36,,5,,N,2027,$75k-$100k,,1,,Rust,
S10058,21.0,prefer not to say,CS,,20,5,29-Nov-2025,Y,2030,$50k-$75k,1,0,105%,Rust,
S10059,23.0,Female,Biology,3.75,,2,2025-13-40,Y,,,56,,,Java,
S10060,23.0,prefer not to say,Math,5.1,20,five,04-Nov-2025,N,,,,,89%,C++,
S10061,20.0,Female,Undeclared,5.1,20,2,2025-10-21,,2027,$75k-$100k,,1,,Go,
S10062,25.0,Male,,"4,0",ten,2,,No,,Prefer not to say,,Yes,,Python,Love the course.
